"long","lat","n","cat"
-103.7,20.570351758794,2.7245302445499,"Baja"
-103.697989949749,20.570351758794,2.7411483308133,"Baja"
-103.695979899497,20.570351758794,2.75794823766091,"Baja"
-103.693969849246,20.570351758794,2.77493261630934,"Baja"
-103.691959798995,20.570351758794,2.79210417136255,"Baja"
-103.689949748744,20.570351758794,2.80946566296825,"Baja"
-103.687939698492,20.570351758794,2.82701990907526,"Baja"
-103.685929648241,20.570351758794,2.84476978793464,"Baja"
-103.68391959799,20.570351758794,2.86271824060213,"Baja"
-103.681909547739,20.570351758794,2.88086827384086,"Baja"
-103.679899497487,20.570351758794,2.8992229631549,"Baja"
-103.677889447236,20.570351758794,2.91778545594389,"Baja"
-103.675879396985,20.570351758794,2.93655897513372,"Baja"
-103.673869346734,20.570351758794,2.95554682282864,"Baja"
-103.671859296482,20.570351758794,2.97475238438165,"Baja"
-103.669849246231,20.570351758794,2.99417913285743,"Baja"
-103.66783919598,20.570351758794,3.01383063358617,"Baja"
-103.665829145729,20.570351758794,3.03371054938361,"Baja"
-103.663819095477,20.570351758794,3.05382264590162,"Baja"
-103.661809045226,20.570351758794,3.07417079764855,"Baja"
-103.659798994975,20.570351758794,3.09475899425979,"Baja"
-103.657788944724,20.570351758794,3.11559134744357,"Baja"
-103.655778894472,20.570351758794,3.13667209843061,"Baja"
-103.653768844221,20.570351758794,3.15800562599179,"Media"
-103.65175879397,20.570351758794,3.179596455097,"Media"
-103.649748743719,20.570351758794,3.20144926640933,"Media"
-103.647738693467,20.570351758794,3.2235689063491,"Media"
-103.645728643216,20.570351758794,3.24596039821472,"Media"
-103.643718592965,20.570351758794,3.26862895407521,"Media"
-103.641708542714,20.570351758794,3.29157998763549,"Media"
-103.639698492462,20.570351758794,3.31481912844492,"Media"
-103.637688442211,20.570351758794,3.33835223685992,"Media"
-103.63567839196,20.570351758794,3.36218542075721,"Media"
-103.633668341709,20.570351758794,3.38632505339137,"Media"
-103.631658291457,20.570351758794,3.41077779283114,"Media"
-103.629648241206,20.570351758794,3.43555060327799,"Media"
-103.627638190955,20.570351758794,3.46065077800631,"Media"
-103.625628140704,20.570351758794,3.48608596454415,"Media"
-103.623618090452,20.570351758794,3.51186419206442,"Media"
-103.621608040201,20.570351758794,3.53799390119275,"Media"
-103.61959798995,20.570351758794,3.56448397659824,"Media"
-103.617587939698,20.570351758794,3.59134378267436,"Media"
-103.615577889447,20.570351758794,3.6185832024421,"Media"
-103.613567839196,20.570351758794,3.64621268013525,"Media"
-103.611557788945,20.570351758794,3.67424326799846,"Media"
-103.609547738693,20.570351758794,3.70268667743994,"Media"
-103.607537688442,20.570351758794,3.73155533530735,"Media"
-103.605527638191,20.570351758794,3.76086244568614,"Media"
-103.60351758794,20.570351758794,3.79062205793252,"Media"
-103.601507537688,20.570351758794,3.82084914160805,"Media"
-103.599497487437,20.570351758794,3.85155966905813,"Media"
-103.597487437186,20.570351758794,3.88277070663662,"Media"
-103.595477386935,20.570351758794,3.91450051563015,"Media"
-103.593467336683,20.570351758794,3.94676866375312,"Media"
-103.591457286432,20.570351758794,3.97959614888487,"Media"
-103.589447236181,20.570351758794,4.01300553635156,"Media"
-103.58743718593,20.570351758794,4.04702111125698,"Media"
-103.585427135678,20.570351758794,4.08166904822428,"Media"
-103.583417085427,20.570351758794,4.1169776002107,"Media"
-103.581407035176,20.570351758794,4.1529773092052,"Media"
-103.579396984925,20.570351758794,4.18970124150928,"Alta"
-103.577386934673,20.570351758794,4.2271852508502,"Alta"
-103.575376884422,20.570351758794,4.26546827284983,"Alta"
-103.573366834171,20.570351758794,4.30459265521131,"Alta"
-103.57135678392,20.570351758794,4.34460452835174,"Alta"
-103.569346733668,20.570351758794,4.38555422166883,"Alta"
-103.567336683417,20.570351758794,4.42749673202252,"Alta"
-103.565326633166,20.570351758794,4.47049225105729,"Alta"
-103.563316582915,20.570351758794,4.51460675974067,"Alta"
-103.561306532663,20.570351758794,4.5599126988609,"Alta"
-103.559296482412,20.570351758794,4.60648972585841,"Alta"
-103.557286432161,20.570351758794,4.65442556948801,"Alta"
-103.55527638191,20.570351758794,4.70381699520567,"Alta"
-103.553266331658,20.570351758794,4.75477089542346,"Alta"
-103.551256281407,20.570351758794,4.80740552047064,"Alta"
-103.549246231156,20.570351758794,4.86185186710463,"Alta"
-103.547236180905,20.570351758794,4.91825524283286,"Alta"
-103.545226130653,20.570351758794,4.97677702473356,"Alta"
-103.543216080402,20.570351758794,5.0375966314723,"Alta"
-103.541206030151,20.570351758794,5.10091372644456,"Alta"
-103.5391959799,20.570351758794,5.16695066723878,"Alta"
-103.537185929648,20.570351758794,5.23595521133666,"Alta"
-103.535175879397,20.570351758794,5.3082034808067,"Alta"
-103.533165829146,20.570351758794,5.38400317592277,"Alta"
-103.531155778894,20.570351758794,5.46369700987816,"Alta"
-103.529145728643,20.570351758794,5.54766631208804,"Alta"
-103.527135678392,20.570351758794,5.63633471340654,"Alta"
-103.525125628141,20.570351758794,5.73017178166083,"Alta"
-103.523115577889,20.570351758794,5.82969641895215,"Alta"
-103.521105527638,20.570351758794,5.93547976190439,"Alta"
-103.519095477387,20.570351758794,6.04814724158405,"Alta"
-103.517085427136,20.570351758794,6.16837936663069,"Alta"
-103.515075376884,20.570351758794,6.29691069173623,"Alta"
-103.513065326633,20.570351758794,6.43452633773813,"Alta"
-103.511055276382,20.570351758794,6.58205534912213,"Alta"
-103.509045226131,20.570351758794,6.74036012987472,"Alta"
-103.507035175879,20.570351758794,6.91032121041553,"Muy alta"
-103.505025125628,20.570351758794,7.09281668798394,"Muy alta"
-103.503015075377,20.570351758794,7.28869587169356,"Muy alta"
-103.501005025126,20.570351758794,7.49874695814469,"Muy alta"
-103.498994974874,20.570351758794,7.7236589620461,"Muy alta"
-103.496984924623,20.570351758794,7.96397860353773,"Muy alta"
-103.494974874372,20.570351758794,8.22006337208495,"Muy alta"
-103.492964824121,20.570351758794,8.49203249483617,"Muy alta"
-103.490954773869,20.570351758794,8.77971798879753,"Muy alta"
-103.488944723618,20.570351758794,9.08261834039058,"Muy alta"
-103.486934673367,20.570351758794,9.39985762346259,"Muy alta"
-103.484924623116,20.570351758794,9.73015305109493,"Muy alta"
-103.482914572864,20.570351758794,10.0717940642617,"Muy alta"
