Colonia,NoAsignacion,Descripcion,MontoContratado,EmpresaContratista,ClaseAsigna,ZonaC,Rubro,SubRubro,FechaInicio,FechaTermino,StatusAdmvo,Control,Anio
142,836/P-AD-C11-07,AREA INFANTIL Y ANDADORES EN AREA VERDE UBICADO EN LA CALLE TEPEYAC ESQUINA CALLE LOPEZ PORTILLO EN LA COLONIA GARABATO.,346863,MARJOV CONSTRUCIONES S.A. DE C.V.,Obra,8,Equipamiento Urbano,Recreacion y Esparcimiento,31-Dic-07,17-Feb-08,En proceso,1,2007
207,837/P-AD-C11-07,REHABILITACIoN DE BANQUETAS Y CONSTRUCCIoN DE RAMPAS EN LA CALLE BELLA VISTA EN LA COLONIA LINDA VISTA.,607156.94,SAHUAYALA S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Equipamiento Vial,06-Dic-07,03-Ene-08,Terminada sin Finiquitar,1,2007
187,838/P-AD-C11-07,"CONSTRUCCIoN DE BARDA PERIMETRAL EN EL PREESCOLAR ""NIniO ARTILLERO"" UBICADO EN LA CALLE ERNEST HEMINWAY No. 196 EN LA COLONIA JARDINES DE LA PATRIA.",366870.24,INVERSIONES Y RECURSOS PARA CONSTRUCCIONES S.A. DE C.V.,Obra,5B,Equipamiento Urbano,Educacion,21-Ene-08,5-Mar-08,En proceso,1,2007
19,839/P-AD-C11-07,REHABILITACION DE MACHUELOS BANQUETAS Y RIEGO POR ASPERSIoN EN EL PARQUE UBICADO EN LA CONFLUENCIA DE LAS CALLES OSA MAYOR Y JUAN KEPLER EN LA COLONIA ARBOLEDAS.,464503.86,EDIFICACIONES ESPECIALES GARCIA S.A. DE C.V.,Obra,6,Equipamiento Urbano,Recreacion y Esparcimiento,19-Nov-07,18-Dic-07,Terminada sin Finiquitar,1,2007
201,841/P-AD-C11-07,DEMOLICION Y CONSTRUCCION DE BANQUETAS EN LOS PARQUES UBICADOS EN: ECA DO QUEIROS Y SALVADOR DE MADARIAGA SALVADOR DE MADARIAGA Y DAVID H. LAWRENCE DAVID H. LAWRENCE Y ALDOUX HUXLEY ENTRE AV. PATRIA Y RAMON DEL VALLE INCLAN Y RAMON DEL VALLE INCLAN LE,603799.09,CONSTRUCTORA BUENO S.A. DE C.V.,Obra,5B,Equipamiento Urbano,Recreacion y Esparcimiento,29-Nov-07,17-Ene-08,En proceso,1,2007
216,842/P-AD-C12-07,RAHABILITACION DE ANDADORES UBICADOS EN LA AVENIDA ZOQUIPAN Y CALLE LOMAS DEL CAMINO ENTRE AVENIDA LOMAS DE ATEMAJAC Y CALLE LOMAS GRANDES EN LA COLONIA LOMAS DE ATEMAJAC. PRIMERA ETAPA,400000,EDIFICACIONES ESPECIALES GARCIA S.A. DE C.V.,Obra,1B,Equipamiento Urbano,Equipamiento Vial,03-Dic-07,27-Ene-08,Terminada sin Finiquitar,1,2007
361,843/P-AD-C12-07,REHABILITACIoN Y CONSTRUCCIoN DE LA UNIDAD DEPORTIVA EN LA COLONIA SANTA MARGARITA PRIMERA SECCIoN.,800000,CORIA GALLEGOS INGENIEROS S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Deportes,03-Dic-07,10-Feb-08,En proceso,1,2007
239,845/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE ING. CARLOS HERRERA JASSO  DE UVA A CIRUELO Y CARLOS HERRERA JASSO DE LIMA A ALVAREZ DEL CASTILLO DEL COMITe 10 DE LA COLONIA MESA COLORADA,289923.94,SAHUAYALA S.A. DE C.V.,Obra,RN,Infraestructura Urbana,Infraestructura Vial,18-Dic-07,15-Ene-08,Terminada sin Finiquitar,1,2007
266,847/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE CEDRO DE JACARANDAS A NARANJO DEL COMITe 68 DE LA COLONIA PARAISOS DEL COLLI.,214940.42,SAHUAYALA S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,18-Dic-07,15-Ene-08,Finiquitada,1,2007
297,848/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE ESTRELLA DE  MIGUEL DE LA MADRID A ROBLE DEL COMITe 27 DE LA COLONIA COLINAS DE LA PRIMAVERA.,444044.5,CONSTRUCTORA BUENO S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Vial,13-Dic-07,10-Ene-08,Terminada sin Finiquitar,1,2007
83,849/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE JOSEFA ORTIZ DE DOMINGUEZ DE FRANCISCO VILLA A CERRADA  DEL COMITe 35-A DE LA COLONIA LOMAS DEL BATAN,332727.83,CONSTRUCTORA APANTLI S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,En proceso,1,2007
214,850/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE MORELOS DE LATERAL PERIFERICO A 150 MTS. DESPUES DE PROLOGACION PALOMA Y GONZALEZ ORTEGA DE MORELOS A CLUB DIANA PROLONGACION PALOMA DE CLUB DIANA A TERMINAR CON LA CALLE Y SOLO MITAD DE CLU,842184.35,ACONT S.A. DE C.V.,Obra,1B,Infraestructura Urbana,Infraestructura Vial,21-Dic-07,18-Ene-08,En proceso,1,2007
222,851/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE  SAUZALITO DE JOSEFA ORTIZ DE DOMINGUEZ A MORELOS DEL COMITe 36A  DE LA COLONIA LOMAS DEL BATAN,291986.91,ESPACIO DESARROLLO Y CONSTRUCCION S.A. DE C.V.,Obra,1B,Infraestructura Urbana,Infraestructura Vial,21-Dic-07,18-Ene-08,Terminada sin Finiquitar,1,2007
222,852/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE SAUCITO DE JOSEFA ORTIZ DE DOMINGUEZ A MORELOS COMITe 37-A DE LA COLONIA LOMAS DEL BATAN,300335.78,PROYECTOS Y CONSTRUCCIONES MILENIO S.A. DE C.V.,Obra,1B,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,En proceso,1,2007
83,853/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE PEniASCO DE MIGUEL DE LA MADRID A TABACHINES  DEL COMITe 120 DE LA COLONIA COLINAS DE LA PRIMAVERA,176744.39,CONSTRU-OPCION S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Finiquitada,1,2007
237,854/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE LAUREL DE CIENITA A EMPEDRADO EXISTENTE PASANDO LA CALLE ZAFIRO Y AZUCENA DE GLADIOLA A LAUREL DEL COMITe 61 DE LA COLONIA MARIANO OTERO.,330196.14,GRANDE DE MEXICO CONSTRUCTORA E INMOBILIARIA S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,29-Dic-07,26-Ene-08,Terminada sin Finiquitar,1,2007
266,856/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE MEZQUITE DE SIDRA A EBANO DEL COMITe 57 DE LA COLONIA PARAISOS DEL COLLI,467671.99,CONSTRUCTORA BUENO S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,15-Dic-07,12-Ene-08,Terminada sin Finiquitar,1,2007
257,857/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE JEREZ DE MADRID A SANTANDER DEL COMITe 119 DE LA COLONIA NUEVA ESPAniA,342457.79,CONSTRUCTUR S.A DE C.V.,Obra,2B,Infraestructura Urbana,Infraestructura Vial,05-Dic-07,02-Ene-08,Terminada sin Finiquitar,1,2007
250,858/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE PUERTO LOBO DE PUERTO TAMPICO A PUERTO SALINA CRUZ  DEL COMITe 128 DE LA COLONIA MIRAMAR,225324.96,CONSTRUCTORA DECORACION Y CARPINTERIA S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,En proceso,1,2007
365,859/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE HURACAN DE GRANIZO HASTA RIO VERDE DEL COMITe 102 DE LA COLONIA SANTA MONICA DE LOS CHORRITOS,244295.29,URBANIZACIoN Y CONSTRUCCIoN  AVANZADA  S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Terminada sin Finiquitar,1,2007
266,860/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE NARANJO DE VOLCAN QUINCEO A CEDRO  DEL COMITe 160 DE LA COLONIA PARAISOS DEL COLLI,229310.07,CONSORCIO ROMSA DE SINALOA S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,22-Dic-07,19-Ene-08,Terminada sin Finiquitar,1,2007
257,861/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LA CALLE MADRID ENTRE BILBAO Y BRAGA CALLE SEVILLA DE BARCELONA A JEREZ DEL COMITe 74 (313) DE LA COLONIA NUEVA ESPAniA,503482.87,BUFETE EDIFICADOR OCCIDENTAL S.A. DE C.V.,Obra,2B,Infraestructura Urbana,Infraestructura Vial,09-Ene-08,6-Feb-08,En proceso,1,2007
164,862/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LA CALLE SAN JUAN DE LOS LAGOS DE LA CALLE 10 DE MAYO A EMPEDRADO EXISTENTE Y 10 DE MAYO DE DE SAN JUAN DE LOS LAGOS A EMPEDRADO EXISTENTE DEL COMITe 154 DE LA COLONIA HOGARES DE NUEVO MEXICO.,308401.82,GRUPO CONSTRUCTOR PERSEVERANCIA S.A. DE C.V.,Obra,3,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Terminada sin Finiquitar,1,2007
394,863/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE ALLENDE ESQUINA FERROCARRIL DEL COMITe 321 DE LA COLONIA VENTA DEL ASTILLERO,25269.88,CONSTRUCCIONES Y ASFALTOS NILLA S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,16-Dic-07,Terminada sin Finiquitar,1,2007
34,864/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE LIMON Y MANDARINA DE TORONJA AL CERRO  DEL COMITe 6 DE LA COLONIA  BALCONES DEL SOL.,372451.87,CONSTRUCTORA BUENO S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,13-Dic-07,09-Ene-08,En proceso,1,2007
34,865/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA  LA CALLE GUAMUCHIL DE GIGANTE A NOGAL DEL COMITe 5 (36) DE LA COLONIA BALCONES DEL SOL,235906.94,GRUPO CONSTRUCTOR LOS MUROS S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,19-Dic-07,16-Ene-08,Terminada sin Finiquitar,1,2007
373,866/P-AD-C12-07,TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LA CALLE ALDAMA DE RAMON CORONA A ZARAGOZA EMPEDRADO EXISTENTE DEL COMITe 187 DE LA COLONIA TESISTAN,638195.29,CORIA GALLEGOS INGENIEROS S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Terminada sin Finiquitar,1,2007
394,867/P-AD-C11-07,CONSTRUCCION DE 100 CRIPTAS CON 5 GABETAS EN EL CEMENTERIO DEL EJIDO VENTA DEL ASTILLERO,1009615.38,ALFRA INGENIEROS S.A. DE C.V.,Obra,RS,Equipamiento Urbano,Cementerios,08-Dic-07,7-Mar-08,En proceso,1,2007
7,868/P-AD-C12-07,CONSTRUCCION DE PAVIMENTACION CON CONCRETO HIDRAULICO UBICADO EN LAS CALLES; LAZARO CARDENAS ENTRE FRANCISCO VILLA Y GUADALUPE GALLO EN LA COLONIA AGUA BLANCA.,1170000,PROYECTOS CONSTRUCTIVOS PAIS S.A DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,17-Dic-07,3-Feb-08,En proceso,1,2007
335,870/P-AD-C12-07,APLICACIoN DE CALAFATEO EN LOSAS DE CONCRETO HIDRAULICO EN LAS CALLES PERTENECIENTES AL MUNICIPIO DE ZAPOPAN EN LA COLONIA RINCONADA DE SANTA RITA.,262343.68,DESARROLLO URBANO Y CALAFATEO S.A. DE C.V.,Obra,5B,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Terminada sin Finiquitar,1,2007
228,871/P-AD-C12-07,CONSTRUCCION DE MAMPOSTERIA PARA PROTECCION DE COLUMNAS DE PUENTE PEATONAL UBICADO EN LA CALLE XALISCO Y JM RUVALCABA EN LA COLONIA LOMAS DEL REFUGIO.,117764.5,NIPE CONSTRUCCIONES S.A. DE C.V.,Obra,2B,Equipamiento Urbano,Equipamiento Vial,03-Dic-07,23-Dic-07,Terminada sin Finiquitar,1,2007
243,872/P-AD-C12-07,ADECUACION DEL CAMELLON DE LA AVENIDA  ADOLFO RUIZ CORTINES ESQUINA CON BOULEVARD BUGAMBILIAS EN LA COLONIA MIGUEL DE LA MADRID.,10509.68,NIPE CONSTRUCCIONES S.A. DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,16-Dic-07,Terminada sin Finiquitar,1,2007
167,874/P-CA-C11-07,AMPLIACION DEL CAMINO SACACOSECHAS UBICADO ENTRE LOS CADENAMIENTOS 2+850 AL 2+961.28 CON ORIGEN EN EL ENTRONQUE CON LA CARRETERA A COLOTLAN ENTRE LA CUMBRE Y EL POBLADO DE HUAXTLA,63020.67,GALAPA URBANIZADORES S.A. DE C.V.,Convenio Adicional,RN,Infraestructura Urbana,Infraestructura Vial,26-Nov-07,23-Dic-07,Finiquitada,1,2007
387,875/P-AD-C11-07,CONSTRUCCION DE BAYONETA UBICADA EN LA AV. JUAN PALOMAR Y ARIAS AL CRUCE DE A. NACIONES UNIDAS Y CONSTRUCCION DE RAMPAS PARA MINUSVALIDOS SOBRE EL MISMO CRUCERO EN LA COLONIA VALLARTA UNIVERSIDAD,183053.26,CONSTRUCTORA OCCIDENTAL DE MÈXICO S.A. DE C.V.,Obra,5B,Equipamiento Urbano,Equipamiento Vial,26-Nov-07,09-Ene-08,Por Iniciar,1,2007
361,876/N-AD-C11-07,"CONSTRUCCION DE LA RED DE ALCANTARILLADO SANITARIO Y DESCARGAS DOMICILIARIAS CON TUBERIA DE P.V.C. 10"" DE DIAMETRO SERIE 25 EN LA CALLE SANTA ESTELA ENTRE SANTA ESTHER  Y SANTA TERESA Y LINEA DE ALEJAMIENTO EN AVENIDA SANTA ESTHER ENTRE SANTA ESTELA Y S",396458.07,GRUPO CONSTRUCTOR ESPECIALIZADO PUENTE-CASTILLO S.A. DE C.V.,Obra,1A,Infraestructura Urbana,Alcantarillado,26-Nov-07,12-Ene-08,Terminada sin Finiquitar,1,2007
371,878/P-AD-C11-07,INSTALACION DE LUMINARIAS Y VENTANERIA DE ALUMINIO EN BODEGA DE OBRAS PUBLICAS ASI COMO PINTURA EXTERIOR DE LAS AREAS ANEXAS A LA MISMA UBICADA EN AVENIDA LAURELES 250 COLONIA TEPEYAC,165001.59,AEDIFICANT S.A. DE C.V.,Obra,1B,Equipamiento Urbano,Administracion y Gobierno,19-Nov-07,23-Dic-07,Finiquitada,1,2007
65,879/P-AD-C11-07,REHABILITACION DE SISTERNA ANEXA A FUENTE TARASCA REHABILITACION DE BOSEL EN KIOSKO Y RENIVELACION EN AREAS DE ABNEGACION  EN LA PLAZA DE CABECERA MUNICIPAL,210000,VELERO PAVIMENTACION Y CONSTRUCCION S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Recreacion y Esparcimiento,19-Nov-07,09-Dic-07,Terminada sin Finiquitar,1,2007
371,880/P-AD-C11-07,REHABILITACION DE DIFERENTES AREAS DE LA DIRECCION GENERAL DE OBRAS PUBLICAS UBICADA EN LA AVENIDA LAURELES NO. 250 DE LA COLONIA TEPEYAC,265000,PINTURAS FINAS Y ACABADOS HAZHARZ,Obra,1B,Equipamiento Urbano,Administracion y Gobierno,19-Nov-07,23-Dic-07,Terminada sin Finiquitar,1,2007
17,881/P-AD-C11-07,SUMINISTRO E INSTALACION DE PROTECCION PARA PUENTE VEHICULAR UBICADO EN CALLE ALBERTA Y AVENIDA PATRIA EN LA COLONIA ALTAMIRA.,11000,CONSTRUCCION Y MATERIALES DE JALISCO. S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Equipamiento Vial,19-Nov-07,25-Dic-07,Terminada sin Finiquitar,1,2007
371,882/P-AD-C11-07,SUBDIVICION DE BODEGA Y ADECUACION PARA ARCHIVO DE LA DIRECCION DE CONSTRUCCION UBICADA EN AVENIDA LAURELES NO. 250 DE LA COLONIA TEPEYAC.,105000,CONSTRUCCIONES PARAISOS S.A. DE C.V.,Obra,1B,Equipamiento Urbano,Equipamiento Vial,19-Nov-07,16-Dic-07,Terminada sin Finiquitar,1,2007
191,883/P-AD-C11-07,SUMINISTRO E INSTALACION DE MALLA-ACERO EN UNIDAD DEPORTIVA LOCALIZADA EN LA CALLE IDOLINA GAONA ENTRE SEPTIMA ORIENTE Y SEXTA ORIENTE EN LA COLONIA JARDINES DE NUEVO MEXICO.,218438,GRUPO CONSTRUCTOR INNOBLACK S.A. DE C.V.,Obra,4,Equipamiento Urbano,Deportes,19-Nov-07,02-Dic-07,Finiquitada,1,2007
237,884/P-CA-C11-07,CONSTRUCCION DE MURO DE MAMPOSTERIA EN AMBAS MARGENES DEL ARROYO GARABATOS (PRIVADA DE LAS FLORES) ENTRE LAS CALLES AZAHARES Y LA CONFLUENCIA DE LAS CALLES ZAFIRO Y LAS FLORES EN LA COLONIA MARIANO OTERO.,106310.09,INFRAESTRUCTURA SAN MIGUEL S.A. DE C.V.,Convenio Adicional,7,Infraestructura Urbana,Colectores,19-Nov-07,30-Dic-07,Finiquitada,1,2007
396,890/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 2 EN LA COLONIA HOGARES DE NUEVO MEXICO3  EN LA COLONIA JARDINES  DE NUEVO MEXICO1 EN LA COLONIA LA MAGDALENA 1 EN LA COLONIA SAN JOSE EJIDAL Y 3 EN LA COLONIA VICENTE GUERRERO,335006.6,PROYECTOS Y EDIFICACIONES DEL PAIS S.A. DE C.V.,Obra,3,Equipamiento Urbano,Otros,26-Nov-07,30-Dic-07,Terminada sin Finiquitar,1,2007
238,892/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 7 EN LA COLONIA JARDINES DE LOS BELENES Y 3 EN LA COLONIA LA MARTINICA,335006.6,ABC GRUPO CONSTRUCTOR  S.A. DE C.V.,Obra,2A,Equipamiento Urbano,Otros,15-Feb-08,21-Mar-08,En proceso,1,2007
249,893/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 1 EN LA COLONIA ARROYO HONDO3  EN LA COLONIA BENITO JUAREZ 1 EN LA COLONIA EMILIANO ZAPATA 1 EN LA COLONIA INDIGENA DE MEZQUITAN  Y 4 EN LA COLONIA MIRADOR ESCONDIDO,335006.6,TECNOLOGIA ACUSTICA Y CONSTRUCCION S.A. DE C.V.,Obra,2B,Equipamiento Urbano,Otros,22-Dic-07,26-Ene-08,En proceso,1,2007
418,894/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES:1 EN LA COLONIA AGUA FRIA  1  EN LA COLONIA MESA COLORADA OTE.1 EN LA COLONIA MESA COLORADA PTE. 2 EN LA COLONIA MESA DE LOS  OCOTES 1 EN LA COLONIA SAN ISIDRO 3 EN LA COLONIA VILLA  DE,335006.6,GRUPO EDIFICADOR MAYAB S.A. DE C.V.,Obra,2B,Equipamiento Urbano,Otros,26-Nov-07,30-Dic-07,Terminada sin Finiquitar,1,2007
319,895/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 5 EN LA COLONIA COLLI CTM 3 EN LA COLONIA EL COLLI 1 EN LA COLONIA  INFONAVIT COLLI PRIMAVERA Y 1 EN LA COLONIA RESIDENCIAL MOCTEZUMA PONIENTE,335006.6,ING. MARIO LUIS BALLESTEROS CEBALLOS,Obra,6,Equipamiento Urbano,Otros,18-Dic-07,21-Ene-08,En proceso,1,2007
65,896/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 1 EN LA COLONIA ATEMAJAC DEL VALLE 3 EN LA COLONIA EL VIGIA 1 EN LA COLONIA JARDINES DE LA SEATLE 1 EN LA COLONIA LOMAS DE ZAPOPAN 1 EN LA COLONIA PARQUES DE ZAPOPAN 1 EN LA COLONIA SA,301505.99,CEBRALSA S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Otros,26-Nov-07,30-Dic-07,En proceso,1,2007
261,897/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 3 EN LA COLONIA AGUA BLANCA 2 EN LA COLONIA DE AGUA BLANCA POBLADO3 EN LA COLONIA EL MANTE 1 EN LA COLONIA LA FLORIDA 1 EN LA COLONIA LA PALMIRA,335006.6, PROYECTOS E INSUMOS INDUSTRIALES JELP S.A. DE C.V.,Obra,8,Equipamiento Urbano,Otros,26-Nov-07,30-Dic-07,En proceso,1,2007
237,898/N-AD-C11-07,CONSTRUCCION DE RECAMARA ADICIONAL EN LAS SIGUIENTES UBICACIONES: 1 EN LA COLONIA EL BRISEniO 1 EN LA COLONIA FRANCISCO SARABIA 1 EN LA COLONIA LOMA BONITA EJIDAL 1 EN LA COLONIA MARIANO OTERO,134002.64,PROMOTORA Y CONSTRUCTORA FLORES FAJARDO S.A. DE C.V.,Obra,7,Equipamiento Urbano,Otros,26-Nov-07,16-Dic-07,En proceso,1,2007
296,899/P-AD-C11-07,SUMINISTRO Y COLOCACIoN DE SEniALAMIENTOS PRVENTIVOS PARA LA OBRA DE JUNTAS DE CALZADA TIPO FREYMEX T50  UBICADOS EN EL PASO SUPERIOR DE LA AVENIDA VALLARTA EN SU CRUCE CON LA AVENIDA PATRIA  EN LA COLONIA PRADOS VALLARTA,101461.98,CODECAM CONSTRUCCIONES S.A. DE C.V.,Obra,5A,Infraestructura Urbana,Infraestructura Vial,26-Nov-07,09-Ene-08,Finiquitada,1,2007
119,901/P-AD-C11-07,"ELABORACION DE PROYECTO PARA LA CONSTRUCCION DE RED DE ALCANTARILLADO SANITARIO CON TUBERIA DE PVC SERIE 25 DE 10"" DE DIAMETRO Y DESCARGAS DOMICILIARIAS UBICADAS EN LAS CALLES SIGUIENTES: PRIVADA LAS GARZAS ENTRE PRIVADA FRANCISCO VILLA Y HECTOR OLIVEROS",22988.85,Z Y Z CONSTRUCCIONES S.A. DE C.V.,Estudio y/o Proyecto,RN,Infraestructura Urbana,Alcantarillado,26-Nov-07,16-Dic-07,Finiquitada,1,2007
195,902/P-AD-C12-07,REFORZAMIENTO Y CONSTRUCCION  DE BARDA PERIMETRAL EN LA ESCUELA GERARDO MURILLO CORONADO DR. ATL UBICADA EN LA CALLE VICENTE LOMBARDO TOLEDANO S/N EN LA COLONIA JARDINES DEL AUDITORIO.,358952.83,CORPORATIVO MULTIPLOS S.A. DE C.V.,Obra,2A,Equipamiento Urbano,Educacion,17-Dic-07,29-Ene-08,En proceso,1,2007
203,903/P-CA-C12-07,PAVIMENTACION CON CONCRETO HIDRAULICO DE 18 CM. DE ESPESOR DE f'c=300 Kg/Cm2 UBICADO EN LA AVENIDA INGLATERRA ENTRE LA CALLE SOLERAS Y PRIVADA ACERO EN JOCOTAN POBLADO. (DICTAMEN Y PROPUESTA DE COMISIONES DEL AYUNTAMIENTO  EXP. 483/05. SE RESUELVE EN PE,572176.05,CONSTRUCTORA ARGAMURO S.A. DE C.V.,Convenio Adicional,5A,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,30-Dic-07,Finiquitada,1,2007
349,905/N-AD-C12-07,CONSTRUCCION DE CARPETA ASFALTICA SOBRE EMPEDRADO Y SELLO SLURRY SEAL UBICADO EN LA CALLE 16 DE SEPTIEMBRE ENTRE 5 DE MAYO A JAUREZ EN LA COLONIA SAN JUAN DE OCOTAN,514000,P Y P CONSTRUCTORA S.A. DE C.V.,Obra,4,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,06-Ene-08,Terminada sin Finiquitar,1,2007
180,906/P-AD-C12-07,CONSTRUCCION DE CARPETA ASFALTICA DE 5 CM DE ESPESOR Y SELLO SLURRY SEAL  UBICADO EN LA CALLE  IDOLINA GAONA DE COSIO  DE: COBRE EN LA COLONIA JARDINES TAPATIOS.,540000,LIM CONSTRUCTORA S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,19-Dic-07,16-Ene-08,En proceso,1,2007
237,907/P-AD-C12-07,PAVIMENTACION CON LOSAS DE CONCRETO HIDRAULICO UBICADO EN LA CALLE BELISARIO  DOMINGUEZ   DE: AV. PROLONGACION TEPEYAC   A:  AV.  FRANCISCO  I.  MADERO EN LA COLONIA MARIANO OTERO,540000,FORMER GRUPO CONSTRUCTOR S.A DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,16-Ene-08,En proceso,1,2007
47,908/P-AD-C12-07,APLICACIoN DE CALAFATEO UBICADO EN 1.-BOULEVARD BUGAMBILIAS.2.-CIRCUITO DE LAS FLORES PONIENTE 3.-PROL. MARIANO OTERO EN LA COLONIA CIUDAD BUGAMBILIAS,460000,PROYECTOS Y EDIFICACIONES DEL PAIS S.A. DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,06-Ene-08,Terminada sin Finiquitar,1,2007
137,909/P-AD-C12-07,REENCARPETADO DE ASFALTO CON LA APLICACION DE SELLO SLURRY SEAL UBICADO EN LA CALLE VILLA JUAREZ DESDE SU CRUCE CON IGNACIO ALLENDE HASTA LA COLINDANCIA CON LA COLONIA FRANCISCO SARABIA,460000,BALKEN S.A. DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,03-Dic-07,06-Ene-08,Por Iniciar,1,2007
84,911/N-AD-C12-07,CONSTRUCCION DE EMPEDRADO DE 15 CM DE ESPESOR UBICADO EN LA SIGUIENTE CALLE PROLONGACION  BELENES  ENTRE CAOBAS  HASTA  DONDE HACE CERRADA EN LA COLONIA COLINAS DE LOS BELENES.,580000,CONSTRUCCIONES ELECTRIFICACIONES Y ARRENDAMIENTOS DE MAQUINARIA S.A. DE C.V.,Obra,2A,Infraestructura Urbana,Infraestructura Vial,19-Dic-07,2-Feb-08,En proceso,1,2007
350,913/N-AD-C12-07,CONSTRUCCION DE CUNETAS EN EL SOBRE EL CAMINO PRINCIPAL AL INGRESO AL POBLADO  DE SAN LORENZO,450000,ING. JOSE DE JESUS FARIAS ROMERO,Obra,RN,Infraestructura Urbana,Infraestructura Rural,03-Dic-07,16-Ene-08,Finiquitada,1,2007
