"Estacion","TMedia","TMin","TMax","Tobs","Fecha"
"GUCJL","20.1","9.8","30.4","10.4","2/19/2014 12:00:00 AM"
"GUAJL","20.5","12","29","14.0","2/18/2014 12:00:00 AM"
"GUCJL","19.9","9.2","30.6","9.8","2/18/2014 12:00:00 AM"
"GUAJL","20.8","13","28.5","13.0","2/20/2014 12:00:00 AM"
"GUCJL","19.1","8.5","29.6","8.9","2/20/2014 12:00:00 AM"
"GUAJL","21.5","12","31","12.0","2/21/2014 12:00:00 AM"
"GUCJL","17.3","7.9","26.8","8.4","2/21/2014 12:00:00 AM"
"GUAJL","19.8","12.5","27","15.0","2/22/2014 12:00:00 AM"
"GUCJL","20","10.5","29.5","11.0","2/22/2014 12:00:00 AM"
"GUAJL","20.5","13.5","27.5","14.0","2/24/2014 12:00:00 AM"
"GUAJL","20.8","13.5","28","14.5","2/25/2014 12:00:00 AM"
"GUCJL","19.9","10.5","29.2","12.0","2/25/2014 12:00:00 AM"
"GUAJL","19.8","13","26.5","13.5","2/26/2014 12:00:00 AM"
"GUCJL","18.6","9.8","27.4","11.0","2/26/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","2/27/2014 12:00:00 AM"
"GUCJL","19.3","8.6","30","9.5","2/27/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","2/28/2014 12:00:00 AM"
"GUCJL","19.3","9.5","29.1","10.2","2/28/2014 12:00:00 AM"
"GUAJL","20.8","13.5","28","14.0","3/1/2014 12:00:00 AM"
"GUCJL","23.4","9.7","37","10.4","3/1/2014 12:00:00 AM"
"GUAJL","21","13","29","14.0","3/2/2014 12:00:00 AM"
"GUCJL","20.6","9.5","31.6","10.4","3/2/2014 12:00:00 AM"
"GUAJL","21","13","29","14.0","3/2/2014 12:00:00 AM"
"GUCJL","20.6","9.5","31.6","10.4","3/2/2014 12:00:00 AM"
"GUAJL","21.8","14.5","29","15.0","3/3/2014 12:00:00 AM"
"GUCJL","21.2","10.5","31.9","11.5","3/3/2014 12:00:00 AM"
"GUAJL","20.5","13","28","13.0","3/4/2014 12:00:00 AM"
"GUCJL","20.9","10.5","31.2","11.0","3/4/2014 12:00:00 AM"
"GUAJL","19.5","12","27","12.0","3/5/2014 12:00:00 AM"
"GUCJL","19","9.2","28.7","10.5","3/5/2014 12:00:00 AM"
"GUAJL","19","12","26","12.5","3/6/2014 12:00:00 AM"
"GUCJL","18.5","8.2","28.8","9.5","3/6/2014 12:00:00 AM"
"GUAJL","19.8","12","27.5","13.0","3/7/2014 12:00:00 AM"
"GUCJL","20.1","10","30.1","11.0","3/7/2014 12:00:00 AM"
"GUAJL","19","13","25","13.5","3/8/2014 12:00:00 AM"
"GUCJL","19.2","10.6","27.8","12.5","3/8/2014 12:00:00 AM"
