Colonia,Ubicacion,TipoClave,TipoDesc,Clase
332,,99,NINGUNO,99
516,Rinconada de los Pinos y Rinconada de los Laureles Poniente (Parque terraza y juegos infantiles),2,Parque,1
333,Casa Club en Rinconada La Joya,2,Parque,2
516,Rinconada de los mandarinos y Pinos,3,Jardin,1
516,Rinconada de los mandarinos y cedros,3,Jardin,1
516,Rinconada de las Limas y Rinconada de los duraznos,3,Jardin,1
327,Paseo del Iris,4,Juegos Infantiles,2
389,,99,NINGUNO,99
404,Playa Chamela N� 1315,2,Parque,1
419,Circuito Vista del Sol,4,Juegos Infantiles,1
421,Tulum y Palenque,2,Parque,1
515,Privada de los Sauces y Rinconada de los Sauces.,4,Juegos Infantiles,1
515,Terraza en Privada de los Sauces y Rinconada de los Sauces,3,Jardin,1
514,Sendero de los Laureles Sur,4,Juegos Infantiles,1
514,Senderos de las Jacarandas Sur,4,Juegos Infantiles,1
3,Privada Los Abetos,3,Jardin,2
3,Privada Los Abetos,4,Juegos Infantiles,2
3,Terraza en Privada los Abetos,0,Desconocido,2
107,,99,NINGUNO,99
517,,99,NINGUNO,99
340,,99,NINGUNO,99
372,Av. Tepeyac y Av. de los Leones,4,Juegos Infantiles,1
392,,99,NINGUNO,99
285,Av. del Pinar y Tajin,3,Jardin,1
285,Cuicuilco y Aztlan,2,Parque,1
285,Teotihuacan y Tzintzunzan,2,Parque,1
285,Sierra de Tapalpa y Av. del Pinar,4,Juegos Infantiles,1
285,Sierra de Tapalpa y Av. del Pinar,2,Parque,1
285,Foro en Av. del Pinar frente al 508 esq. Tajin,2,Parque,1
519,Av. Bosque de los Encinos y privada de la Paz,4,Juegos Infantiles,1
519,Av. Bosque de los Encinos y Privada de la Paz,3,Jardin,1
519,Privada de la Concordia y Privada de la Paz,3,Jardin,1
519,Circuito de la Calma Poniente,3,Jardin,1
520,Parque en Lima y Mandarina,4,Juegos Infantiles,1
520,Limon y San Gonzalo,3,Jardin,1
520,Limon y San Gonzalo,4,Juegos Infantiles,1
520,Parque en Fresno y Eucalipto,4,Juegos Infantiles,1
518,Gaviota y Paloma,2,Parque,1
518,Centro Social en prolongacion Venustiano Carranza y Paloma,0,Desconocido,1
521,Casa Club con juegos y Terraza en Calle Siena (Coto Milan),4,Juegos Infantiles,2
521,Casa club con terraza en Florencia y San Remo (Coto Turin),4,Juegos Infantiles,2
522,Con Terraza y Alberca en Coto Solares Antara,3,Jardin,2
522,Con Terraza y Alberca en Coto Saveira,3,Jardin,2
522,Con Terraza y Alberca en Coto Santa Rosa,3,Jardin,2
522,Con Terraza y Alberca en Coto Uno,3,Jardin,2
522,Con Terraza y Alberca en Coto Dos,3,Jardin,2
522,Con Terraza y Alberca en Coto Tres,3,Jardin,2
522,Con Terraza y Alberca en Coto Cuatro,3,Jardin,2
522,Con Terraza y Alberca en Coto Cinco,3,Jardin,2
522,Con Terraza y Alberca en Coto Seis,3,Jardin,2
523,,99,NINGUNO,99
524,Santa Catalina Poniente,3,Jardin,1
524,Santa Catalina norte,3,Jardin,1
524,Santa Catalina Norte,4,Juegos Infantiles,1
524,Santa Catalina Poniente,2,Parque,1
524,Santa Catalina Poniente,4,Juegos Infantiles,1
218,Inexistente,99,NINGUNO,99
45,Inexistente,99,NINGUNO,99
43,Inexistente,99,NINGUNO,99
27,Inexistente,99,NINGUNO,99
526,Rio Arauca y Rio Orinoco Ote.,3,Jardin,1
526,Rio Arauca y Rio Meta Oriente,3,Jardin,1
525,Ganaderos de Jalisco y Limousin,3,Jardin,1
525,Parque con juegos infantiles en Limousin,2,Parque,1
525,Parque con Terraza en Angus N� 355,2,Parque,1
525,Parque con juegos infantiles y terraza en Brahman,2,Parque,1
513,Carlos Villasenior y Andador 17 Oriente (en estado de abandono),3,Jardin,1
513,Sebastian Allende y 17 Central  (en estado de abandono),3,Jardin,1
513,Francisco Mujica y Andador 15  (en estado de abandono),3,Jardin,1
513,Enrique Diaz de Leon entre Andador 15 y Andador 11  (en estado de abandono),3,Jardin,1
513,Andador 1 y Enrique Diaz de Leon  (en estado de abandono),3,Jardin,1
149,Fermin Riestra y Manuel Villalongin,1,Plaza Civica,1
40,Inexistente,99,NINGUNO,99
527,Inexistente,99,NINGUNO,99
108,Av. Constituyentes y Manuel Aguirre,3,Jardin,1
108,Obreros de Cananea y G. Meliton Albanies,2,Parque,1
108,obreros de Cananea en parque Publica,4,Juegos Infantiles,1
528,,3,Jardin,1
117,,99,NINGUNO,99
388,Plan de Guadalupe y And. Cantera Gris,2,Parque,1
530,Inexistente,99,NINGUNO,99
531,,0,Desconocido,0
531,Inexistente,99,NINGUNO,99
531,,0,Desconocido,0
277,Inexistencia,99,NINGUNO,99
529,Inexistencia,99,NINGUNO,99
532,Calle San Rafael,4,Juegos Infantiles,1
533,,99,NINGUNO,99
244,,0,Desconocido,0
25,Zaragoza y Emiliano Zapata,1,Plaza Civica,1
297,,0,,0
297,En el bosque,0,Balneario las tinajitas,0
534,Av. de las Flores y Canal,0,Jardin,0
534,Paseo de la Relaeza y Monarquia Britanica,0,Terraza jardin,0
534,Monarquia Sueca,0,Terraza jardin,0
534,Real de Bosque y Federalistas,0,Terraza jardin,0
534,Monarquia Espaniola,0,Terraza jardin,0
535,Rinconada del Camichin y Caoba,0,Terraza jardin,0
535,Vino rosado y Barranca,0,Terraza-jardin-juegos,2
535,Vino jerez y Alambique,0,Terraza-jardin-juegos,2
535,Primavera,0,Terraza-jardin-juegos,2
537,Dentro del Coto,4,Juegos Infantiles,2
537,Dentro del Coto,0,Alberca y Terraza,2
539,Senda los Adelfos,0,Parque y juegos,1
539,Av. del Bosque,2,Parque,1
540,Valle de Zapopan y Valle d los Molino,0,Juegos Infantiles y Jardin,1
540,Valentin Vidrio Aece y Valle del Sol,2,Parque,1
540,Valle de los Molinos,0,Jardin y Juegos Infantiles,1
541,Astoria coto 1,0,Jardin y Juegos,1
541,Florencia y Tizano,0,Jardin y Juegos,1
541,Rafaelo y Napoles,0,Jardin y Juegos,1
543,De las Limas y Magnolia,0,Jardin,1
544,San Felipe,0,Jardin y Juegos Infantiles,1
546,Las Palmas Sur,4,Juegos Infantiles,1
545,Prolongacion San Miguel y Granada,0,Jarin y Juegos Infaniles,2
545,Prolongacion San Miguel y Granada,0,Terraza y Juegos Infantiles,2
547,Av. Lago Real,4,Juegos Infantiles,1
547,Juegos Infantiles,0,Av. Lago Real,1
